business_name,street_address,city,state,zip,phone,website,google_rating,review_count,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,latitude,longitude
Allentown Running Club,,Semmes,AL,36575,,http://www.rrca.org/programs/kids-run-the-nation-program/,,,,,,,,,,,
Anniston Runners Club,,Anniston,AL,36202,,,,,,,,,,,,,
Auburn Opelika Running &amp; Track Association (AORTA),,Auburn,AL,36830,,,,,,,,,,,,,
Birmingham Track Club,,Birmingham,AL,35253,,,,,,,,,,,,,
Cahaba Distance Project,,Homewood,AL,35209,,http://cahabadistance.com,,,,,,,,,,,
Coach Brian Darr,,NORTHPORT,AL,35475,,http://www.coachbriandarr.com,,,,,,,,,,,
F2FS,,Adamsville,AL,35005,,,,,,,,,,,,,
Gadsden Runners Club,,Gadsden,AL,35902,,,,,,,,,,,,,
Huntsville Track Club,,Huntsville,AL,35802,,,,,,,,,,,,,
Johnny V Cole,,Westbrook,AL,04092,,,,,,,,,,,,,
Northeast Alabama Bicycle Association,,Anniston,AL,36202,,http://www.neaba.net,,,,,,,,,,,
Race Ready Runners,,Athens,AL,35613,,,,,,,,,,,,,
River Region Runners,,Montgomery,AL,36124,,,,,,,,,,,,,
Team Rocket Tri Club,,HUNTSVILLE,AL,35801,,,,,,,,,,,,,
Test Club,,Kimberley,AL,10001,,,,,,,,,,,,,
Tuscaloosa Track Club,,Tuscaloosa,AL,35402,,,,,,,,,,,,,
Uniontown Color Run Training Club,,Tuscaloosa,AL,35487,,,,,,,,,,,,,
Alaska Triathlon Club,,Anchorage,AK,99523,,,,,,,,,,,,,
Anchorage Running Club,,Anchorage,AK,99524,,https://anchoragerunningclub.org/,,,,,,,,,,,
Arctic Bicycle Club,,Anchorage,AK,99511,,,,,,,,,,,,,
Chugiak-Eagle River Nordic Ski Club,,Eagle River,AK,99577,,http://www.ernsc.org,,,,,,,,,,,
Destination Race,,Anchorage,AK,99501,,http://skinnyraven.com,,,,,,,,,,,
