business_name,street_address,city,state,zip,phone,website,google_rating,review_count,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,latitude,longitude
Parker Track Club (PTC),"Bob Jones High School Track, 670 Hughes Rd",Madison,AL,35758,1 256-559-8913,,,,"[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]",34.7202526,-86.7416524
Anniston Runners Club,26 W 10th St,Anniston,AL,36201,,,,,,,,,,,,33.6568023,-85.8310242
Dothan Runners,3405 Wellington,Dothan,AL,36305,1 334-792-6021,,3.8,,,,,,,,,31.2071298,-85.4386253
Resolute Running Training Center,2709 Mamie L Foster,Birmingham,AL,35209,1 205-492-3670,,5,,"[""5:30-6:30AM"",""9:30AM-5:45PM""]",,,,,,,33.4825424,-86.7903945
Red Lane Runners track club,6200 Old Leeds Rd,Birmingham,AL,35210,1 205-541-4538,,5,,"[""6-8PM""]",,,,,,,33.5443508,-86.6645889
Huntsville Track Club,,,,,1 256-701-4443,,,,"[""Open 24 hours""]",,,,,,,34.6992935,-86.6780524
Alaska Sports Car Club Ice Race Track,G4PM+FR,Wasilla,AK,99654,,,,,,,,,,,,61.536159,-149.8653939
Skinny Raven Sports,800 H St,Anchorage,AK,99501,1 907-274-7222,,4.7,460,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-6PM""]","[""Closed""]",61.2143472,-149.8979494
MatSu Running Club,,,,,1 415-757-9745,,,,,,,,,,,62.278646,-149.7129325
Hanshew Middle Athletic Track,10207 Ridge Park Dr,Anchorage,AK,99507,,,4.6,25,,,,,,,,61.128449,-149.8328678
Quicksilver Running Club,6927 Grandwood Way #2216,San Jose,CA,95120,,,5,3,,,,,,,,37.207828,-121.8296833
Anchorage Alaska Sports Car Lions Club,,Anchorage,AK,99501,1 907-276-2337,,,,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",61.2175758,-149.8996784
Track Club Fitness,915 N Central Ave,Phoenix,AZ,85004,1 602-529-5600,,4.5,204,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.4582303,-112.0736573
AZ Flames Track Club,1391 E Crescent Way,Chandler,AZ,85249,1 602-319-2523,,4.8,5,,,,,,,,33.238213,-111.816955
Arizona Road Racers Running,2627 N 27th St #1916,Phoenix,AZ,85008,1 602-684-1496,,3.4,5,,,,,,,,33.47756,-112.0231579
Unlisted Run Club,7887 E Thomas Rd,Scottsdale,AZ,85257,,,5,10,"[""Closed""]","[""Closed""]","[""Open 24 hours""]","[""Closed""]","[""Closed""]","[""Open 24 hours""]","[""Closed""]",33.479095,-111.9112856
Run Your Race AZ,3331 N 25th St,Phoenix,AZ,85016,1 602-722-6503,,5,10,"[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]",33.4870172,-112.0274576
Runner's Den,6505 N 16th St,Phoenix,AZ,85016,1 602-277-4333,,4.7,551,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-6PM""]","[""10AM-5PM""]","[""10AM-5PM""]",33.531277,-112.047263
Queen Creek Running Company,23858 S Power Rd #103,Queen Creek,AZ,85142,1 480-659-9310,,4.9,286,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-6PM""]","[""10AM-5PM""]","[""11AM-5PM""]",33.2321961,-111.6864417
Run Flagstaff,204 Historic Rte 66,Flagstaff,AZ,86001,1 928-774-2990,,5,382,"[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-5PM""]","[""11AM-4PM""]",35.1969689,-111.6465575
Sole Sports,2494 S Recker Rd #101,Gilbert,AZ,85295,1 480-247-7232,,5,79,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-5PM""]","[""11AM-5PM""]",33.3056327,-111.7058567
Valley Runners Run Club,,,,,,,,,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",34.168035,-111.9307474
Aravaipa Running,2401 S 24th St,Phoenix,AZ,85034,1 602-346-0554,,4.9,74,,,,,,,,33.4256639,-112.0298918
Sole Sports Running Zone,7001 N Scottsdale Rd #170,Scottsdale,AZ,85253,1 480-991-2475,,5,186,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-5PM""]","[""11AM-5PM""]",33.5392891,-111.923759
Road Runner Sports,7077 E Mayo Blvd,Phoenix,AZ,85054,1 480-513-1774,,4.6,1787,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-6PM""]",33.6539859,-111.9279821
Everyone Runs,,,,,1 520-797-7867,,5,36,,,,,,,,32.1347769,-110.9987685
Sole Sports Running Zone,1006 E Warner Rd # 104,Tempe,AZ,85284,1 480-522-2475,,4.9,401,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-5PM""]","[""11AM-5PM""]",33.3356356,-111.9275722
Road Runner Sports,43 S McClintock Dr,Tempe,AZ,85288,1 480-968-2022,,4.5,2276,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-6PM""]",33.4321033,-111.9069914
